Round,ego_node_id,neighbor_node_id,T_i_j,Y_i_j
0,2630,1929,0,0
0,2630,1962,0,0
0,2630,1966,0,0
0,2630,1971,0,0
0,2630,1984,0,0
0,2630,1986,0,500000
0,2630,2030,0,0
0,2630,2037,0,0
0,2630,2073,0,0
0,2630,2074,0,0
0,2630,2083,0,0
0,2630,2088,0,5000000
0,2630,2090,0,0
0,2630,2095,0,0
0,2630,2104,0,0
0,2630,2118,0,4000000
0,2630,2131,0,0
0,2630,2139,0,0
0,2630,2150,0,0
0,2630,2165,0,0
0,2630,2220,0,400000
0,2630,2240,0,0
0,2630,2253,0,550000000
0,2630,2261,0,0
0,2630,2266,0,0
0,2630,2271,0,0
0,2630,2300,0,0
0,2630,2306,0,0
0,2630,2307,0,0
0,2630,2309,0,0
0,2630,2353,0,0
0,2630,2356,0,0
0,2630,2370,0,0
0,2630,2386,0,0
0,2630,2410,0,0
0,2630,2430,0,15000000
0,2630,2446,0,0
0,2630,2460,0,0
0,2630,2464,0,2000000
0,2630,2468,0,0
0,2630,2492,0,0
0,2630,2495,0,0
0,2630,2504,0,0
0,2630,2526,0,0
0,2630,2532,0,0
0,2630,2536,0,0
0,2630,2539,0,0
0,2630,2550,0,0
0,2630,2552,0,0
0,2630,2556,0,0
0,2630,2563,0,5000000
0,2630,2564,0,0
0,2630,2573,0,0
0,2630,2575,0,0
0,2630,2576,0,0
0,2630,2579,0,0
0,2630,2586,0,0
0,2630,2590,0,0
0,2630,2600,0,0
0,2630,2601,0,0
0,2630,2602,0,0
0,2630,2604,0,0
0,2630,2607,0,0
0,2630,2611,0,0
0,2630,2624,0,0
0,2630,2654,0,0
0,2630,2655,0,200000000
1,2630,1929,1,0
1,2630,1962,1,0
1,2630,1966,1,0
1,2630,1971,1,0
1,2630,1984,1,0
1,2630,1986,1,0
1,2630,2030,1,0
1,2630,2037,1,100000000
1,2630,2073,1,0
1,2630,2074,1,0
1,2630,2083,1,0
1,2630,2088,1,0
1,2630,2090,1,0
1,2630,2095,1,0
1,2630,2104,1,0
1,2630,2118,1,0
1,2630,2131,1,0
1,2630,2139,1,0
1,2630,2150,1,0
1,2630,2165,1,0
1,2630,2220,1,0
1,2630,2240,1,0
1,2630,2253,1,1400000000
1,2630,2261,1,0
1,2630,2266,1,0
1,2630,2271,1,0
1,2630,2300,1,0
1,2630,2306,1,0
1,2630,2307,1,0
1,2630,2309,1,0
1,2630,2353,1,0
1,2630,2356,1,0
1,2630,2370,1,0
1,2630,2386,1,0
1,2630,2410,1,0
1,2630,2430,1,100000000
1,2630,2446,1,0
1,2630,2460,1,0
1,2630,2464,1,0
1,2630,2468,1,0
1,2630,2492,1,0
1,2630,2495,1,0
1,2630,2504,1,0
1,2630,2526,1,0
1,2630,2532,1,0
1,2630,2536,1,0
1,2630,2539,1,0
1,2630,2550,1,25000000
