ego_id,cluster_id,global_index,local_node_id,min_distance_to_centroid,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21
0,0,22,23,0.9527377344642919,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
0,1,140,141,1.7847577130946912,1,1,0,1,0,1,2,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0
348,0,1453,407,1.3015295525257136,1,1,0,1,1,2,3,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0
348,1,1426,380,0.8011450701790216,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
414,0,1745,653,1.326426860414806,1,0,0,0,0,2,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
414,1,1643,4082,0.6530940409266291,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
107,0,1050,1570,1.1940929562499234,1,1,0,1,0,2,2,0,2,0,1,1,2,1,1,1,0,0,0,0,0,0
107,1,810,1330,1.0904280228971017,1,1,0,1,0,2,2,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0
107,2,353,366,0.8218394790167632,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
107,3,799,1319,1.6844048358756853,1,0,0,1,0,2,3,0,2,0,1,0,1,0,1,1,1,1,1,1,2,0
1684,0,2021,4159,0.37254185816460006,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1684,1,2191,2822,1.1045769568293105,1,0,0,0,0,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
1684,2,2688,3319,1.444994880295994,1,1,0,1,0,1,2,0,2,0,1,0,1,0,1,1,1,1,1,0,2,0
1912,0,3158,2258,0.8394436969784884,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1912,1,2957,2057,1.4855780344247067,1,1,0,1,0,2,2,0,2,0,1,1,1,0,1,1,0,1,1,0,1,0
3437,0,3827,3699,1.327027127057346,1,0,0,1,0,1,3,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0
3437,1,3562,4125,0.48308109768317026,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3980,0,4120,3992,1.0403386596435646,1,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
3980,1,4111,3983,0.6257807623281503,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
686,0,1850,759,1.0271159278735054,1,0,0,0,0,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
686,1,1799,708,0.44377934175293354,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
698,0,1950,4127,0.28217044618677106,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
698,1,2013,895,1.3301243435223542,1,0,0,0,0,0,2,0,2,0,1,0,0,0,1,1,1,1,1,0,1,0
698,2,1951,4128,1.5142551799482147,1,0,0,0,0,2,3,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0
