簇ID,子簇ID,中心购买者,到质心距离(标准化)
4,0,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,1.391
4,1,QWIKSUPPLYCHAINPRIVATELIMITED,0.0
4,2,HALDIA ENERGY LIMITED,0.0
9,0,NAVAYUGA  ENGINEERING COMPANY LIMITED,3.2676
9,1,JAI BHARAT TECHNICAL SERVICES PVT LTD,1.4045
2,0,RASHMI CEMENT LTD,1.0096
2,1,RAY CONSTRUCTIONS LTD,2.2991
0,0,M R F LIMITED,0.9824
0,1,FAIRPLAN VINTRADE PRIVATE LIMITED,2.3551
8,0,BANSHIDHAR VYAPAAR PVT LTD,1.6008
8,1,DR HEALTHTECH,3.1128
1,0,D S ENGINEERING WORKS LLP,0.7893
1,1,CAPACITE INFRAPROJECTS LTD,1.3907
1,2,BIRLACARBONINDIAPRIVATELIMITED,3.1201
1,3,MAATHA PROJECTS LLP,1.5358
5,0,AKSHAT GREENTECH PRIVATE LIMITED,0.4213
5,1,MSN PHARMACHEM PVT LTD,2.2742
3,0,BALAJI  REAL ESTATE VENTURES PVT LT,2.0554
3,1,ARROW PROJECTS PVT LTD,2.449
3,2,BUTTA HOSPITALITIES PVT LTD,1.6819
7,0,ILABS HYD TECHNOLOGY CENTRE PVT LTD,0.0
7,1,KIRAN MAZUMDAR SHAW,0.0
