Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,513,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,513,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,513,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,513,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,513,1
BHARATIYA JANATA PARTY,OC,10000000,2021-01-08,671,8
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),TL,1000000,2021-01-08,683,8
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),TL,1000000,2021-01-08,683,8
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),TL,1000000,2021-01-08,683,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2021-04-09,412,9
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2021-04-09,412,9
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
BHARATIYA JANATA PARTY,OC,10000000,2021-07-06,669,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,651,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,683,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,683,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-07,683,10
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-07-07,683,10
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-07-07,683,10
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-07-07,683,10
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-07-07,683,10
