Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
SHIVSENA,OC,10000000,2019-04-15,3000,0
SHIVSENA,OC,10000000,2019-04-15,3000,0
SHIVSENA,OC,10000000,2019-04-15,3000,0
SHIVSENA,OC,10000000,2019-04-15,3000,0
SHIVSENA,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-04,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3119,3
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3119,3
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3056,3
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3303,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3303,9
