node_id,degree,ego_networks_count,ego_networks,circles_count,circles
236,37,1,0,2,"0_circle15,0_circle4"
186,44,1,0,1,0_circle15
122,63,1,0,2,"0_circle15,0_circle4"
285,47,1,0,1,0_circle15
24,16,1,0,1,0_circle16
346,27,1,0,0,
271,73,1,0,1,0_circle15
304,55,1,0,1,0_circle15
176,14,1,0,1,0_circle15
9,57,1,0,2,"0_circle15,0_circle16"
130,16,1,0,0,
329,30,1,0,0,
204,22,1,0,1,0_circle9
213,39,1,0,1,0_circle15
252,65,1,0,1,0_circle11
332,43,1,0,1,0_circle11
82,34,1,0,1,0_circle15
65,12,1,0,1,0_circle15
276,18,1,0,1,0_circle15
26,68,1,0,1,0_circle15
280,43,1,0,2,"0_circle15,0_circle4"
272,45,1,0,0,
211,30,1,0,1,0_circle11
199,47,1,0,1,0_circle11
84,13,1,0,1,0_circle4
133,18,1,0,1,0_circle15
62,26,1,0,1,0_circle15
239,59,1,0,1,0_circle4
172,41,1,0,2,"0_circle15,0_circle17"
322,72,1,0,1,0_circle15
53,31,1,0,0,
3,17,1,0,1,0_circle15
170,46,1,0,1,0_circle15
175,17,1,0,1,0_circle14
46,5,1,0,1,0_circle7
56,78,1,0,1,0_circle15
254,17,1,0,1,0_circle16
194,19,1,0,1,0_circle16
231,21,1,0,0,
117,6,1,0,1,0_circle15
127,16,1,0,2,"0_circle15,0_circle16"
135,10,1,0,2,"0_circle15,0_circle16"
103,16,1,0,1,0_circle15
188,48,1,0,1,0_circle15
23,17,1,0,2,"0_circle15,0_circle5"
116,17,1,0,1,0_circle2
73,10,1,0,1,0_circle9
299,20,1,0,1,0_circle16
288,4,1,0,1,0_circle15
315,56,1,0,1,0_circle15
119,62,1,0,1,0_circle15
323,39,1,0,1,0_circle15
48,22,1,0,1,0_circle16
57,15,1,0,1,0_circle16
200,57,1,0,1,0_circle15
98,49,1,0,1,0_circle15
313,37,1,0,1,0_circle11
63,6,1,0,1,0_circle15
344,9,1,0,1,0_circle4
67,76,1,0,1,0_circle15
118,36,1,0,1,0_circle11
325,39,1,0,1,0_circle15
277,65,1,0,1,0_circle15
134,19,1,0,1,0_circle11
270,4,1,0,1,0_circle2
76,3,1,0,1,0_circle11
36,11,1,0,2,"0_circle15,0_circle16"
223,27,1,0,1,0_circle4
274,14,1,0,1,0_circle15
88,20,1,0,0,
21,65,1,0,1,0_circle15
339,27,1,0,1,0_circle15
108,13,1,0,1,0_circle15
197,16,1,0,2,"0_circle15,0_circle16"
169,38,1,0,1,0_circle15
275,10,1,0,0,
273,9,1,0,0,
83,7,1,0,1,0_circle3
28,13,1,0,1,0_circle23
312,26,1,0,2,"0_circle6,0_circle19"
242,24,1,0,1,0_circle15
214,17,1,0,2,"0_circle6,0_circle19"
20,15,1,0,2,"0_circle6,0_circle19"
307,4,1,0,0,
71,3,1,0,1,0_circle0
333,8,1,0,1,0_circle19
207,3,1,0,1,0_circle15
168,11,1,0,1,0_circle15
308,24,1,0,2,"0_circle15,0_circle11"
341,12,1,0,1,0_circle15
128,28,1,0,1,0_circle15
334,28,1,0,1,0_circle0
238,23,1,0,1,0_circle11
265,27,1,0,1,0_circle11
141,28,1,0,1,0_circle15
78,9,1,0,0,
345,16,1,0,1,0_circle15
317,7,1,0,1,0_circle15
158,25,1,0,1,0_circle11
38,9,1,0,1,0_circle15
302,20,1,0,0,
27,5,1,0,0,
54,8,1,0,2,"0_circle0,0_circle11"
139,9,1,0,2,"0_circle15,0_circle16"
109,37,1,0,1,0_circle15
291,36,1,0,1,0_circle15
142,43,1,0,1,0_circle15
203,57,1,0,1,0_circle11
105,14,1,0,2,"0_circle15,0_circle17"
232,25,1,0,0,
64,7,1,0,1,0_circle15
217,8,1,0,0,
248,21,1,0,1,0_circle15
126,7,1,0,1,0_circle17
224,28,1,0,1,0_circle15
261,38,1,0,1,0_circle15
283,5,1,0,0,
144,15,1,0,1,0_circle2
226,14,1,0,0,
290,14,1,0,1,0_circle15
25,69,1,0,1,0_circle15
