Name of the Political Party,Prefix,Denominations,Journal Date,¶ÔÓ¦µÄlocal_node_id
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3440
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1234
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2780
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,3000
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,1978
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,734
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,827
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,1804
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,1804
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2253
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,1653
