Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3440,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1234,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,3000,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,1978,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,827,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,1804,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,1804,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,1653,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2371,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2371,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2371,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,542,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,542,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-15,1340,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-15,3000,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,207,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2849,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-12,2058,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-12,2058,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-12,2058,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,421,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,421,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,421,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,421,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,421,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1745,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,3521,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,3521,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,3521,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,3521,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,3521,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,2291,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,2291,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,2291,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,2291,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1986,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1986,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1986,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1986,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,1986,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,460,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
