Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,2253,0
